,competition,animal,blue,white,ratioWB_o,ratioWB_i,CI
0,2,1,175.5,119.5,0.6809415584415583,0.8153377630121816,-0.0782792269205867
1,2,2,462.0,41.0,0.0886904761904762,0.8153377630121816,-0.9634703519821958
2,2,3,300.0,13.0,0.04331303613493933,0.8153377630121816,-1.2757945201354237
3,2,4,180.0,77.5,0.4313698249513754,0.8153377630121816,-0.2792912526634955
4,2,5,724.5,12.5,0.017283950617283952,0.8153377630121816,-1.692186323808649
5,4,1,413.5,16.5,0.03989063048309743,0.6390731222019566,-1.2063413268990402
6,4,2,261.5,8.5,0.03253636996037867,0.6390731222019566,-1.2931876589858045
7,4,3,286.5,1.5,0.005169299123599346,0.6390731222019566,-2.1117464303463382
8,4,4,136.5,0.0,0.0,0.6390731222019566,-inf
9,4,5,449.0,0.5,0.0012787723785166241,0.6390731222019566,-inf
10,5,1,96.0,100.0,1.0417073965461063,0.6131976744186047,0.23014490880701916
11,5,2,328.0,174.5,0.5303479663878086,0.6131976744186047,-0.06367776216054223
12,5,3,436.0,188.0,0.43174786909397034,0.6131976744186047,-0.1542747910462819
13,5,4,455.5,31.0,0.0681791890797617,0.6131976744186047,-0.9660786401130604
14,5,5,610.5,22.0,0.03611474113869932,0.6131976744186047,-1.230389739684885
